Name,Value,Type,Offset,Range,Set,Binding,Descriptor Type,Buffer
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,6896,,,,,
light_array.data[54],[...],struct Light,6912,,,,,
light_array.data.texture_matrix,[...],mat2x4f,6912,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,6912,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,6928,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,6944,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,6944,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,6960,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,6976,,,,,
light_array.data.shadow_color,0,uint32,6992,,,,,
light_array.data.flags,0,uint32,6996,,,,,
light_array.data.shadow_pixel_size,0.00,float,7000,,,,,
light_array.data.height,0.00,float,7004,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,7008,,,,,
light_array.data.shadow_zfar_inv,0.00,float,7016,,,,,
light_array.data.shadow_y_ofs,0.00,float,7020,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,7024,,,,,
light_array.data[55],[...],struct Light,7040,,,,,
light_array.data.texture_matrix,[...],mat2x4f,7040,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7040,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7056,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,7072,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7072,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7088,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,7104,,,,,
light_array.data.shadow_color,0,uint32,7120,,,,,
light_array.data.flags,0,uint32,7124,,,,,
light_array.data.shadow_pixel_size,0.00,float,7128,,,,,
light_array.data.height,0.00,float,7132,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,7136,,,,,
light_array.data.shadow_zfar_inv,0.00,float,7144,,,,,
light_array.data.shadow_y_ofs,0.00,float,7148,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,7152,,,,,
light_array.data[56],[...],struct Light,7168,,,,,
light_array.data.texture_matrix,[...],mat2x4f,7168,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7168,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7184,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,7200,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7200,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7216,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,7232,,,,,
light_array.data.shadow_color,0,uint32,7248,,,,,
light_array.data.flags,0,uint32,7252,,,,,
light_array.data.shadow_pixel_size,0.00,float,7256,,,,,
light_array.data.height,0.00,float,7260,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,7264,,,,,
light_array.data.shadow_zfar_inv,0.00,float,7272,,,,,
light_array.data.shadow_y_ofs,0.00,float,7276,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,7280,,,,,
light_array.data[57],[...],struct Light,7296,,,,,
light_array.data.texture_matrix,[...],mat2x4f,7296,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7296,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7312,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,7328,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7328,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7344,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,7360,,,,,
light_array.data.shadow_color,0,uint32,7376,,,,,
light_array.data.flags,0,uint32,7380,,,,,
light_array.data.shadow_pixel_size,0.00,float,7384,,,,,
light_array.data.height,0.00,float,7388,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,7392,,,,,
light_array.data.shadow_zfar_inv,0.00,float,7400,,,,,
light_array.data.shadow_y_ofs,0.00,float,7404,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,7408,,,,,
light_array.data[58],[...],struct Light,7424,,,,,
light_array.data.texture_matrix,[...],mat2x4f,7424,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7424,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7440,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,7456,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7456,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7472,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,7488,,,,,
light_array.data.shadow_color,0,uint32,7504,,,,,
light_array.data.flags,0,uint32,7508,,,,,
light_array.data.shadow_pixel_size,0.00,float,7512,,,,,
light_array.data.height,0.00,float,7516,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,7520,,,,,
light_array.data.shadow_zfar_inv,0.00,float,7528,,,,,
light_array.data.shadow_y_ofs,0.00,float,7532,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,7536,,,,,
light_array.data[59],[...],struct Light,7552,,,,,
light_array.data.texture_matrix,[...],mat2x4f,7552,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7552,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7568,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,7584,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7584,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7600,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,7616,,,,,
light_array.data.shadow_color,0,uint32,7632,,,,,
light_array.data.flags,0,uint32,7636,,,,,
light_array.data.shadow_pixel_size,0.00,float,7640,,,,,
light_array.data.height,0.00,float,7644,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,7648,,,,,
light_array.data.shadow_zfar_inv,0.00,float,7656,,,,,
light_array.data.shadow_y_ofs,0.00,float,7660,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,7664,,,,,
light_array.data[60],[...],struct Light,7680,,,,,
light_array.data.texture_matrix,[...],mat2x4f,7680,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7680,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7696,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,7712,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7712,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7728,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,7744,,,,,
light_array.data.shadow_color,0,uint32,7760,,,,,
light_array.data.flags,0,uint32,7764,,,,,
light_array.data.shadow_pixel_size,0.00,float,7768,,,,,
light_array.data.height,0.00,float,7772,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,7776,,,,,
light_array.data.shadow_zfar_inv,0.00,float,7784,,,,,
light_array.data.shadow_y_ofs,0.00,float,7788,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,7792,,,,,
light_array.data[61],[...],struct Light,7808,,,,,
light_array.data.texture_matrix,[...],mat2x4f,7808,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7808,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7824,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,7840,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7840,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7856,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,7872,,,,,
light_array.data.shadow_color,0,uint32,7888,,,,,
light_array.data.flags,0,uint32,7892,,,,,
light_array.data.shadow_pixel_size,0.00,float,7896,,,,,
light_array.data.height,0.00,float,7900,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,7904,,,,,
light_array.data.shadow_zfar_inv,0.00,float,7912,,,,,
light_array.data.shadow_y_ofs,0.00,float,7916,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,7920,,,,,
light_array.data[62],[...],struct Light,7936,,,,,
light_array.data.texture_matrix,[...],mat2x4f,7936,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7936,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7952,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,7968,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,7968,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,7984,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,8000,,,,,
light_array.data.shadow_color,0,uint32,8016,,,,,
light_array.data.flags,0,uint32,8020,,,,,
light_array.data.shadow_pixel_size,0.00,float,8024,,,,,
light_array.data.height,0.00,float,8028,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,8032,,,,,
light_array.data.shadow_zfar_inv,0.00,float,8040,,,,,
light_array.data.shadow_y_ofs,0.00,float,8044,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,8048,,,,,
light_array.data[63],[...],struct Light,8064,,,,,
light_array.data.texture_matrix,[...],mat2x4f,8064,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8064,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8080,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,8096,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8096,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8112,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,8128,,,,,
light_array.data.shadow_color,0,uint32,8144,,,,,
light_array.data.flags,0,uint32,8148,,,,,
light_array.data.shadow_pixel_size,0.00,float,8152,,,,,
light_array.data.height,0.00,float,8156,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,8160,,,,,
light_array.data.shadow_zfar_inv,0.00,float,8168,,,,,
light_array.data.shadow_y_ofs,0.00,float,8172,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,8176,,,,,
light_array.data[64],[...],struct Light,8192,,,,,
light_array.data.texture_matrix,[...],mat2x4f,8192,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8192,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8208,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,8224,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8224,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8240,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,8256,,,,,
light_array.data.shadow_color,0,uint32,8272,,,,,
light_array.data.flags,0,uint32,8276,,,,,
light_array.data.shadow_pixel_size,0.00,float,8280,,,,,
light_array.data.height,0.00,float,8284,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,8288,,,,,
light_array.data.shadow_zfar_inv,0.00,float,8296,,,,,
light_array.data.shadow_y_ofs,0.00,float,8300,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,8304,,,,,
light_array.data[65],[...],struct Light,8320,,,,,
light_array.data.texture_matrix,[...],mat2x4f,8320,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8320,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8336,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,8352,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8352,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8368,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,8384,,,,,
light_array.data.shadow_color,0,uint32,8400,,,,,
light_array.data.flags,0,uint32,8404,,,,,
light_array.data.shadow_pixel_size,0.00,float,8408,,,,,
light_array.data.height,0.00,float,8412,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,8416,,,,,
light_array.data.shadow_zfar_inv,0.00,float,8424,,,,,
light_array.data.shadow_y_ofs,0.00,float,8428,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,8432,,,,,
light_array.data[66],[...],struct Light,8448,,,,,
light_array.data.texture_matrix,[...],mat2x4f,8448,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8448,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8464,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,8480,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8480,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8496,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,8512,,,,,
light_array.data.shadow_color,0,uint32,8528,,,,,
light_array.data.flags,0,uint32,8532,,,,,
light_array.data.shadow_pixel_size,0.00,float,8536,,,,,
light_array.data.height,0.00,float,8540,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,8544,,,,,
light_array.data.shadow_zfar_inv,0.00,float,8552,,,,,
light_array.data.shadow_y_ofs,0.00,float,8556,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,8560,,,,,
light_array.data[67],[...],struct Light,8576,,,,,
light_array.data.texture_matrix,[...],mat2x4f,8576,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8576,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8592,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,8608,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8608,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8624,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,8640,,,,,
light_array.data.shadow_color,0,uint32,8656,,,,,
light_array.data.flags,0,uint32,8660,,,,,
light_array.data.shadow_pixel_size,0.00,float,8664,,,,,
light_array.data.height,0.00,float,8668,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,8672,,,,,
light_array.data.shadow_zfar_inv,0.00,float,8680,,,,,
light_array.data.shadow_y_ofs,0.00,float,8684,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,8688,,,,,
light_array.data[68],[...],struct Light,8704,,,,,
light_array.data.texture_matrix,[...],mat2x4f,8704,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8704,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8720,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,8736,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8736,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8752,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,8768,,,,,
light_array.data.shadow_color,0,uint32,8784,,,,,
light_array.data.flags,0,uint32,8788,,,,,
light_array.data.shadow_pixel_size,0.00,float,8792,,,,,
light_array.data.height,0.00,float,8796,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,8800,,,,,
light_array.data.shadow_zfar_inv,0.00,float,8808,,,,,
light_array.data.shadow_y_ofs,0.00,float,8812,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,8816,,,,,
light_array.data[69],[...],struct Light,8832,,,,,
light_array.data.texture_matrix,[...],mat2x4f,8832,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8832,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8848,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,8864,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8864,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8880,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,8896,,,,,
light_array.data.shadow_color,0,uint32,8912,,,,,
light_array.data.flags,0,uint32,8916,,,,,
light_array.data.shadow_pixel_size,0.00,float,8920,,,,,
light_array.data.height,0.00,float,8924,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,8928,,,,,
light_array.data.shadow_zfar_inv,0.00,float,8936,,,,,
light_array.data.shadow_y_ofs,0.00,float,8940,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,8944,,,,,
light_array.data[70],[...],struct Light,8960,,,,,
light_array.data.texture_matrix,[...],mat2x4f,8960,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8960,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,8976,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,8992,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,8992,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9008,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,9024,,,,,
light_array.data.shadow_color,0,uint32,9040,,,,,
light_array.data.flags,0,uint32,9044,,,,,
light_array.data.shadow_pixel_size,0.00,float,9048,,,,,
light_array.data.height,0.00,float,9052,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,9056,,,,,
light_array.data.shadow_zfar_inv,0.00,float,9064,,,,,
light_array.data.shadow_y_ofs,0.00,float,9068,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,9072,,,,,
light_array.data[71],[...],struct Light,9088,,,,,
light_array.data.texture_matrix,[...],mat2x4f,9088,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9088,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9104,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,9120,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9120,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9136,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,9152,,,,,
light_array.data.shadow_color,0,uint32,9168,,,,,
light_array.data.flags,0,uint32,9172,,,,,
light_array.data.shadow_pixel_size,0.00,float,9176,,,,,
light_array.data.height,0.00,float,9180,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,9184,,,,,
light_array.data.shadow_zfar_inv,0.00,float,9192,,,,,
light_array.data.shadow_y_ofs,0.00,float,9196,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,9200,,,,,
light_array.data[72],[...],struct Light,9216,,,,,
light_array.data.texture_matrix,[...],mat2x4f,9216,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9216,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9232,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,9248,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9248,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9264,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,9280,,,,,
light_array.data.shadow_color,0,uint32,9296,,,,,
light_array.data.flags,0,uint32,9300,,,,,
light_array.data.shadow_pixel_size,0.00,float,9304,,,,,
light_array.data.height,0.00,float,9308,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,9312,,,,,
light_array.data.shadow_zfar_inv,0.00,float,9320,,,,,
light_array.data.shadow_y_ofs,0.00,float,9324,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,9328,,,,,
light_array.data[73],[...],struct Light,9344,,,,,
light_array.data.texture_matrix,[...],mat2x4f,9344,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9344,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9360,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,9376,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9376,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9392,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,9408,,,,,
light_array.data.shadow_color,0,uint32,9424,,,,,
light_array.data.flags,0,uint32,9428,,,,,
light_array.data.shadow_pixel_size,0.00,float,9432,,,,,
light_array.data.height,0.00,float,9436,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,9440,,,,,
light_array.data.shadow_zfar_inv,0.00,float,9448,,,,,
light_array.data.shadow_y_ofs,0.00,float,9452,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,9456,,,,,
light_array.data[74],[...],struct Light,9472,,,,,
light_array.data.texture_matrix,[...],mat2x4f,9472,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9472,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9488,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,9504,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9504,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9520,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,9536,,,,,
light_array.data.shadow_color,0,uint32,9552,,,,,
light_array.data.flags,0,uint32,9556,,,,,
light_array.data.shadow_pixel_size,0.00,float,9560,,,,,
light_array.data.height,0.00,float,9564,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,9568,,,,,
light_array.data.shadow_zfar_inv,0.00,float,9576,,,,,
light_array.data.shadow_y_ofs,0.00,float,9580,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,9584,,,,,
light_array.data[75],[...],struct Light,9600,,,,,
light_array.data.texture_matrix,[...],mat2x4f,9600,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9600,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9616,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,9632,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9632,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9648,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,9664,,,,,
light_array.data.shadow_color,0,uint32,9680,,,,,
light_array.data.flags,0,uint32,9684,,,,,
light_array.data.shadow_pixel_size,0.00,float,9688,,,,,
light_array.data.height,0.00,float,9692,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,9696,,,,,
light_array.data.shadow_zfar_inv,0.00,float,9704,,,,,
light_array.data.shadow_y_ofs,0.00,float,9708,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,9712,,,,,
light_array.data[76],[...],struct Light,9728,,,,,
light_array.data.texture_matrix,[...],mat2x4f,9728,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9728,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9744,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,9760,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9760,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9776,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,9792,,,,,
light_array.data.shadow_color,0,uint32,9808,,,,,
light_array.data.flags,0,uint32,9812,,,,,
light_array.data.shadow_pixel_size,0.00,float,9816,,,,,
light_array.data.height,0.00,float,9820,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,9824,,,,,
light_array.data.shadow_zfar_inv,0.00,float,9832,,,,,
light_array.data.shadow_y_ofs,0.00,float,9836,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,9840,,,,,
light_array.data[77],[...],struct Light,9856,,,,,
light_array.data.texture_matrix,[...],mat2x4f,9856,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9856,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9872,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,9888,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9888,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,9904,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,9920,,,,,
light_array.data.shadow_color,0,uint32,9936,,,,,
light_array.data.flags,0,uint32,9940,,,,,
light_array.data.shadow_pixel_size,0.00,float,9944,,,,,
light_array.data.height,0.00,float,9948,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,9952,,,,,
light_array.data.shadow_zfar_inv,0.00,float,9960,,,,,
light_array.data.shadow_y_ofs,0.00,float,9964,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,9968,,,,,
light_array.data[78],[...],struct Light,9984,,,,,
light_array.data.texture_matrix,[...],mat2x4f,9984,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,9984,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,10000,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,10016,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,10016,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,10032,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,10048,,,,,
light_array.data.shadow_color,0,uint32,10064,,,,,
light_array.data.flags,0,uint32,10068,,,,,
light_array.data.shadow_pixel_size,0.00,float,10072,,,,,
light_array.data.height,0.00,float,10076,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,10080,,,,,
light_array.data.shadow_zfar_inv,0.00,float,10088,,,,,
light_array.data.shadow_y_ofs,0.00,float,10092,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,10096,,,,,
light_array.data[79],[...],struct Light,10112,,,,,
light_array.data.texture_matrix,[...],mat2x4f,10112,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,10112,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,10128,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,10144,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,10144,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,10160,,,,,
light_array.data.color,"[0.00, 0.00, 0.00, 0.00]",vec4f,10176,,,,,
light_array.data.shadow_color,0,uint32,10192,,,,,
light_array.data.flags,0,uint32,10196,,,,,
light_array.data.shadow_pixel_size,0.00,float,10200,,,,,
light_array.data.height,0.00,float,10204,,,,,
light_array.data.position,"[0.00, 0.00]",vec2f,10208,,,,,
light_array.data.shadow_zfar_inv,0.00,float,10216,,,,,
light_array.data.shadow_y_ofs,0.00,float,10220,,,,,
light_array.data.atlas_rect,"[0.00, 0.00, 0.00, 0.00]",vec4f,10224,,,,,
light_array.data[80],[...],struct Light,10240,,,,,
light_array.data.texture_matrix,[...],mat2x4f,10240,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,10240,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,10256,,,,,
light_array.data.shadow_matrix,[...],mat2x4f,10272,,,,,
C0,"[0.00, 0.00, 0.00, 0.00]",vec4f,10272,,,,,
C1,"[0.00, 0.00, 0.00, 0.00]",vec4f,10288,,,,,
